Tiempo,Pandora mm (637km2),Banano mm (90km2)
6/22/1973,7.46,21.02
6/23/1973,6.17,14.78
6/24/1973,6.32,27.65
6/25/1973,7.80,19.68
6/26/1973,7.72,15.17
6/27/1973,7.83,23.14
6/28/1973,5.02,14.30
6/29/1973,3.84,13.54
6/30/1973,3.21,11.42
7/1/1973,2.77,10.18
7/2/1973,2.92,22.46
7/3/1973,3.02,13.54
7/4/1973,3.27,11.90
7/5/1973,3.31,12.10
7/6/1973,3.00,10.37
7/7/1973,2.81,11.81
7/8/1973,2.85,14.11
7/9/1973,3.35,12.67
7/10/1973,3.01,10.75
7/11/1973,2.40,9.50
7/12/1973,2.14,9.07
7/13/1973,2.47,9.07
7/14/1973,4.99,16.13
7/15/1973,5.34,12.48
7/16/1973,3.30,10.37
7/17/1973,2.83,9.34
7/18/1973,6.16,13.54
7/19/1973,5.34,11.23
7/20/1973,12.29,24.29
7/21/1973,20.21,23.23
7/22/1973,8.06,16.03
7/23/1973,6.69,14.88
7/24/1973,5.22,17.47
7/25/1973,3.93,14.02
7/26/1973,3.20,12.58
7/27/1973,2.78,11.23
7/28/1973,2.44,13.25
7/29/1973,2.67,11.04
7/30/1973,2.67,11.71
7/31/1973,4.01,19.49
8/1/1973,5.03,13.25
8/2/1973,4.07,11.71
8/3/1973,3.69,10.66
8/4/1973,2.66,9.70
8/5/1973,2.47,10.56
8/6/1973,2.33,9.12
8/7/1973,2.13,8.56
8/8/1973,2.43,8.39
8/9/1973,2.02,7.87
8/10/1973,2.10,8.11
8/11/1973,2.17,7.99
8/12/1973,1.83,7.58
8/13/1973,1.68,7.26
8/14/1973,1.63,7.11
8/15/1973,1.60,7.01
8/16/1973,1.60,7.95
8/17/1973,2.02,7.15
8/18/1973,2.16,8.02
8/19/1973,2.40,7.88
8/20/1973,2.21,7.85
8/21/1973,2.37,7.65
8/22/1973,2.35,7.56
8/23/1973,2.71,7.70
8/24/1973,1.95,10.66
8/25/1973,1.93,11.14
8/26/1973,2.47,15.55
8/27/1973,5.24,15.07
8/28/1973,10.42,27.65
8/29/1973,14.11,19.68
8/30/1973,8.72,16.80
8/31/1973,5.14,12.29
9/1/1973,4.06,10.27
9/2/1973,8.14,9.49
9/3/1973,8.50,10.08
9/4/1973,9.75,17.09
9/5/1973,12.25,13.63
9/6/1973,11.10,11.04
9/7/1973,6.05,10.94
9/8/1973,5.11,9.79
9/9/1973,3.77,8.69
9/10/1973,3.40,8.19
9/11/1973,3.11,8.04
9/12/1973,2.96,8.24
9/13/1973,3.87,11.62
9/14/1973,3.53,10.66
9/15/1973,3.93,10.85
9/16/1973,3.32,9.39
9/17/1973,2.85,8.40
9/18/1973,3.59,9.36
9/19/1973,4.91,13.73
9/20/1973,3.66,11.04
9/21/1973,3.05,10.27
9/22/1973,2.92,9.70
9/23/1973,2.69,9.55
9/24/1973,2.31,9.41
9/25/1973,2.58,9.34
9/26/1973,2.37,11.52
9/27/1973,4.52,15.94
9/28/1973,4.77,11.23
9/29/1973,3.62,9.14
9/30/1973,3.53,9.31
10/1/1973,3.11,11.81
10/2/1973,3.16,9.79
10/3/1973,3.08,8.56
10/4/1973,5.30,10.94
10/5/1973,8.31,15.46
10/6/1973,11.30,20.26
10/7/1973,7.53,15.07
10/8/1973,6.24,13.54
10/9/1973,6.16,14.40
10/10/1973,6.89,14.30
10/11/1973,5.11,11.90
10/12/1973,5.17,11.62
10/13/1973,7.87,17.38
10/14/1973,15.33,24.29
10/15/1973,23.06,19.39
10/16/1973,12.75,15.46
10/17/1973,10.74,19.39
10/18/1973,14.92,39.07
10/19/1973,14.38,25.15
10/20/1973,10.08,17.86
10/21/1973,7.60,15.26
10/22/1973,8.07,14.78
10/23/1973,8.08,13.63
10/24/1973,10.40,20.54
10/25/1973,10.17,17.18
10/26/1973,7.62,14.21
10/27/1973,6.25,12.00
10/28/1973,4.86,11.14
10/29/1973,4.23,10.46
10/30/1973,3.65,9.98
10/31/1973,2.78,9.51
11/1/1973,2.62,9.10
11/2/1973,2.48,9.26
11/3/1973,2.85,10.56
11/4/1973,3.26,17.47
11/5/1973,6.37,12.00
11/6/1973,3.66,9.79
11/7/1973,3.01,29.28
11/8/1973,10.58,21.60
11/9/1973,7.19,15.84
11/10/1973,4.88,12.38
11/11/1973,3.80,13.15
11/12/1973,4.00,11.71
11/13/1973,3.59,14.59
11/14/1973,5.29,13.92
11/15/1973,5.02,23.52
11/16/1973,8.55,24.58
11/17/1973,8.82,26.69
11/18/1973,9.77,12.48
11/19/1973,9.36,21.12
11/20/1973,7.26,18.05
11/21/1973,6.37,19.01
11/22/1973,7.35,20.74
11/23/1973,15.46,31.20
11/24/1973,27.53,36.10
11/25/1973,19.26,25.54
11/26/1973,15.06,31.30
11/27/1973,12.07,28.42
11/28/1973,38.52,118.08
